customer_id,site_id,location_type,customer_name,delivery_days,address_line1,address_line2,postal_code,region1,region2,region3,phone_number,customer_number,otc_customer_id,otc_site_id,load_date,longitude,latitude,locquality_desc,is_deleted,modified_date,modified_user,source_system,otc_warehouse_no
100000,ROUTE_0,HQ3,DESC_0,NF83KVOPI,CL5A,QWH5IMISYO,SBAIGH9ZN1A,DCTOC,32QHSZEES5DJB8,P80Y4RGKU6C,W5ZKMALXM483GC,1IQOZBQI,IQLIY852F4AQ,N7HPC338KVVY,2024-02-08 09:06:06.000000,141.070433,146.875107,DESC_0,EHHPAY,2024-11-03 11:48:54.000000,0QQ6Z,2CB498AE,FCML1L
100001,ROUTE_1,13FIQ0CIOBAOY,DESC_1,JWQSOIXC4UCZ,QIL6ADBGGRH1KE,YQB8N8Q03941Y,KMRC8KM,FV38CZZ8AKQ,JCAII3N,07E,EGHYNPOWPI1562C,RG28I,36T7R03XFRXO4,F0K,2025-01-17 05:52:34.000000,-168.8553,36.445105,DESC_1,YM8,2024-10-29 11:39:56.000000,30Q,YBJ4FD24,4S708N
100002,ROUTE_2,67Q47BE2ER70P,DESC_2,2NNEYNTC3XIQ3,QTS8SUALN2GFZ9R,3B0,2P77DTQMZBUQKPV,HJ1DMOK,O3OXM,3NGNU7Y,1VXOZEDTGOCU4FP,PQG8,EDO2,G8OKV,2024-08-17 17:15:04.000000,138.96253,-129.467266,DESC_2,6TPHGHH3REXW,2024-02-07 04:24:23.000000,KAYIP8V3A0JDD,3LYP,RATYW
100003,ROUTE_3,SLZIOKCKG,DESC_3,O83NBG3F9ISWI,NVOEVH6OAJ6SS5C,RLZP09,O5IYWZ3,IYVY9,7887ZQD4MV,05W5TEC,4PHK0F6U8HBW54,FKBW,X1WSTOMXZ,NPHWPBRSAMKW6,2025-04-13 08:26:03.000000,-136.881382,73.190747,DESC_3,HLU7D,2025-03-30 02:00:24.000000,RPDJES3QDFPZ,S82SBFK6MH89JJ,PRQD7WCEX2F0WH
100004,ROUTE_4,5KWL34O9TM,DESC_4,5PUD3ED3NSFM84,8UDKD4,0CKNVV,ULXP0FJ7,DN6YTYJ4XW,9E76BQF,PUFZB28WGRIUI8,CSH8WD,29N5V8JM,0YRB0TLXS,4OFYDCAH5H6RU2,2025-08-15 15:16:08.000000,117.655041,-47.214119,DESC_4,IQAUCL2M8N0I,2025-11-21 12:08:20.000000,NAE0YJPS,U1SSRA4H,OTS
100005,ROUTE_5,75W58V4,DESC_5,PAVEJJHP,WECGX8V8,I1JSHBUZJTXFTN,MSUM0,9L4OD6LV0,ABO7Y7XE56YFL,IRSWOU5ZT5J,0B64MGD,JJ2C2LCM1EZ,IO2ACHRHX3,B2RMIJOXWVU4EM,2024-12-17 13:10:06.000000,-172.914927,163.711167,DESC_5,PFI97,2025-06-30 08:12:38.000000,OXTI6LMM30VL,6Q69X,L0R
100006,ROUTE_6,A3RZOM18G7,DESC_6,ISKG9,AA79TEO6OA9,42RZN,28ZJUF7,QPF55V53KDP843M,CLPWD,MY975LIDEN7RIFM,1H1HZBAX8EMMBU,MFT9IC3698FBP,8Y5JQO5F,VJJ0U3,2024-07-15 17:08:42.000000,-152.846809,118.083286,DESC_6,DPMBWC76SJVA,2025-10-09 20:01:38.000000,YLNJJFAGIAWS6A,B64C92,N04AAMD0RECEYMC
100007,ROUTE_7,VRQBALVDPHL,DESC_7,UBHHMMQ4IB,4SUSYPT,BT8,ZRHU32IZV,OXJOQ,NPPZLWBT,ZBQRNOMUBZ2G,BSZH5JN558Q3,N3T95H,XVOW6HP,LZWR0T2243D2,2024-11-06 17:57:23.000000,169.517038,-140.927316,DESC_7,M1GBFFVNPNFI2,2025-09-30 06:04:14.000000,GTLYHRQVK8U4EZ8,WY834X,NBZAEJQ75G83
100008,ROUTE_8,SUT,DESC_8,T06AT,G3AYBD2MRWLL44,4HU4I7H0HH0,ZF7TL88EBX5,F9BC,ZFYR,IQIDBB0,WA0LQV,PCRHA0WT,1CO3A42BANX,O6Y0XZIZ,2025-12-03 03:14:46.000000,0.194179,-32.606785,DESC_8,7QC8OS2CWU9O,2025-10-09 19:48:52.000000,0MI82E,O79B2,L11FDWRGUKR6N8G
100009,ROUTE_9,X8BZ,DESC_9,ZY9LKPNBWTL,ZAPTVX228B,DSO1EOYESOFH,H7DUJS4CLSAE,IGV,SI5QUS6,T2X0571OO72,BW5WF98HM7XS8XA,D47V,Z3DIBLGEE26HXK,E16VWSCU,2025-06-30 01:13:08.000000,100.724118,62.491417,DESC_9,C63I,2025-11-16 02:56:31.000000,RCCZ,3HRV34ZP10LR5AP,P6AXC5SZ1S6N
