site_state,site,customer_no,item_div,salesperson_name,type,status,market,salesperson_empl_no,last_name,first_name,middle_int,company,selling_channel,house_salesperson,salesperson_type,team_name,team_email_address,team_mgr,team_company,team_empl_no,team_business_center_id,team_mgr_salesperson_id,territory_desc,territory_empl_no,territory_email_address,territory_mgr,territory_business_ctr_no,company_group,modified_user,effective_from_dt,effective_thru_dt,load_dt,modified_dt,current_ind,src_desc,active_ind,univ_salesperson_no,premise_type,salesperson_type_cd,salesperson_msc_reg_cd,rpt_team_company_code,rpt_team_company_desc,rpt_team_company_short_desc,rpt_company_code,rpt_company_desc,rpt_company_short_desc,salesperson_no,team_no,team_territory,territory,division_mgr_no,division_mgr_email_address,division_mgr_name,division_mgr_empl_no,division_business_center_id,region_mgr_no,region_mgr_email_address,region_mgr_name,region_mgr_empl_no,region_business_center_id,email_address,source_system,empl_group_name,empl_subgroup_name,empl_hire_date,empl_terminate_date,empl_position_desc,profit_center_cd,profit_center_short_desc,empl_personnel_area_cd,empl_personnel_area_name,empl_personnel_subarea,empl_job_title,empl_phone_no,cost_center_name,cost_center_cd,premise_type_desc,miscellaneous2,salesperson_mobil_phone_no,salesperson_voicemail_no,salesperson_assignment_cd,miscellaneous1,team_mng_mobil_phone_no,team_mng_voicemail_no,team_active_cd,team_sales_company_cd,team_premise_type,territory_mng_mobil_phone_no,territory_mng_voicemail_no,division_mng_mobil_phone_no,division_mng_voicemail_no,region_mng_mobil_phone_no,region_mng_voicemail_no,salesperson_transfer_info_1,salesperson_transfer_info_2,salesperson_effective_dt,salesperson_change_by,salesperson_last_change_dt,is_deleted,salesperson_type_long_desc,assign_salesperson_market_cd,assign_salesperson_market_short_desc,assign_salesperson_market_long_desc,salesperson_item_group_territory_cd,salesperson_item_group_territory_desc,team_type_cd,team_type_short_desc,team_type_long_desc,team_market_cd,team_market_short_desc,team_market_long_desc,region_mgr_type_cd,region_mgr_type_short_desc,region_mgr_type_long_desc,dept_mgr_type_cd,dept_mgr_type_short_desc,dept_mgr_type_long_desc,area_mgr_type_cd,area_mgr_type_short_desc,area_mgr_type_long_desc
9860804725,100000,100000,O7V,Sales Division B,B5M188E11US,SR0B47MJO24X8WK,9YOW1,G6839UF6CCKHM,Sales Division C,Sales Division B,88YJA4FOV1,AM7VGLUSYXX,ZOMTC050,C2W3V,1C5MHH1LB783K9,Sales Division C,william.williams@sgws.com,XU89N9,8HK0ANMA09,BDZA,CKWDY,PFO3JXSW5O5DP,Southwest,Midwest,william.williams@sgws.com,Southwest,Northeast,LW4C69,8K8,2025-11-16 02:10:48.000000,2024-04-16 05:57:41.000000,2024-02-20 16:12:01.000000,2025-05-12 03:49:18.000000,CWJ6OD0P,Sales Division C,Z9LQIXFPBDI6WR,HH9QYL,AJE7RX9AR,I5JUI7V,D5IDBEA9AA0O9,C2NFETOCYVA,Sales Division A,Sales Division C,0,Sales Division A,Sales Division A,285NOQK,732QGM811,West,Southeast,P5AD,william.williams@sgws.com,Sales Division B,L54HALTIM0C71,TGMTRCBG255,Northeast,william.williams@sgws.com,West,West,Northeast,william.williams@sgws.com,YW6JGJGAC65F4,Sales Division B,Sales Division A,2025-05-21 00:44:03.000000,2024-01-25 19:42:56.000000,Account Executive,TT06,Sales Division C,FQO2UQZY7CL25N5,Sales Division C,P2XK,Sr. Account Manager,494-591-8345,Sales Division A,H4GF,Sales Division B,9SFXAJ5F,491-483-2121,william.williams@sgws.com,2901GC8HQ,5LZ,677-353-8376,william.williams@sgws.com,P4WIM7WD,J9RXJZYI,GKOU66P0G,813-402-1138,william.williams@sgws.com,556-532-1068,william.williams@sgws.com,948-867-6607,william.williams@sgws.com,IT0FS,LBT8KU3RQ7DH7LD,2025-09-25 16:23:42.000000,YH2D16,2024-09-09 17:51:55.000000,8RTHW3Y8ZA8YG,Sales Division A,IG0,Sales Division C,Sales Division C,Southeast,West,101X56SWHDEOL,Sales Division A,Sales Division B,TYN,Sales Division C,Sales Division C,Northeast,Midwest,Northeast,4S46MNLAGC2CX1D,Sales Division A,Sales Division C,L69KTE1ZO,Sales Division C,Sales Division C
9994076106,100001,100000,KK8W20FIZLNSAG,Sales Division C,EZI,ZJG25,G2AIM3NIZSPSQFV,NIFJ4N78YZ,Sales Division C,Sales Division B,VESP6U,RFHUN7AGU6GH,E8HV2K7F5XL,BRW9OPONRXJDNW,MH5V,Sales Division A,mark.garcia@sgws.com,931VF3T2,KC6RL1KFRARXQ,WIR8HN5UVODNE,TREQRSY51IUJH,9LR2QGE,Southeast,Midwest,mark.garcia@sgws.com,Midwest,Midwest,KLR0E590DHN,U03K,2025-07-19 08:19:02.000000,2024-04-25 12:59:14.000000,2024-08-20 20:52:43.000000,2025-04-16 21:42:59.000000,7V1OQ,Sales Division B,K0WI4PEDWN,WZ61DRJIS0,ET33256XSZ5T5,3R70UAB7TJIQ,MYH,YSHEB9E1,Sales Division C,Sales Division A,100000,Sales Division C,Sales Division B,LNAF0OFTT7P8Z,CX853I9X51VZJ,West,Northeast,J2A,mark.garcia@sgws.com,Sales Division C,J7YA2IQ638D,SPJT8PZD069R1K,West,mark.garcia@sgws.com,Northeast,West,Midwest,mark.garcia@sgws.com,9BBU,Sales Division C,Sales Division B,2024-09-12 15:50:59.000000,2024-04-02 12:06:04.000000,Sales Representative,R9H9FJU9I44,Sales Division C,Y7V2W6G57UPQ,Sales Division A,ACWWO,Sales Representative,705-210-2233,Sales Division C,CBHKPKZ319GH,Sales Division C,RAJKFLK0M893,440-632-2010,mark.garcia@sgws.com,KOM,XBUNV,573-856-5018,mark.garcia@sgws.com,40EBAJ2QYLBP,JUTV8J,SY6VJQ2E7MYX2I,663-232-3575,mark.garcia@sgws.com,488-559-8850,mark.garcia@sgws.com,889-541-7574,mark.garcia@sgws.com,2IHUPM7CY,B9VI8,2024-12-09 02:08:33.000000,POSX,2025-07-04 19:17:13.000000,32Y44VNSJ,Sales Division B,4PDI,Sales Division C,Sales Division B,West,West,R351GVJN,Sales Division A,Sales Division A,ATMWBO45T28B4,Sales Division A,Sales Division A,Southeast,Southeast,Northeast,4QUUPA1F,Sales Division A,Sales Division A,W5WL,Sales Division C,Sales Division B
812662654,100002,100000,Y3R3IQWMM4V,Sales Division A,8A55BGRU,HHIF,LDM,NRPZVP7,Sales Division B,Sales Division A,K3EJMVHZER5DNR,3CSKXAGZREB,9KMFEJTZJMIC4T,8SKCHM9C,ATG0VE,Sales Division C,jessica.anderson@sgws.com,JEFFS,7EBQBNPEG,6UF4O4HWF6FY8WG,68KX8ZA6SPS590,WMD,West,West,jessica.anderson@sgws.com,Northeast,Southwest,PHS4S6TXNZP5Z,P4NIYDPFBAYWVE,2025-12-27 15:28:51.000000,2025-08-20 05:47:06.000000,2025-11-12 15:33:02.000000,2025-01-23 03:06:37.000000,S8OLN2A,Sales Division A,BXSRSK73CHM,NB8,YU9CPV,7O37R8,OBDXHY8JY,XQTZG,Sales Division A,Sales Division B,100000,Sales Division C,Sales Division C,3C987QP501Y6K4,1UBIVUO9C5,Southwest,West,0GUEEGYX3,jessica.anderson@sgws.com,Sales Division B,08YGN8P08GANY,EV0KE6AA2ETVNNX,Southeast,jessica.anderson@sgws.com,Midwest,Northeast,Southwest,jessica.anderson@sgws.com,5HER85HPKM1EON,Sales Division B,Sales Division B,2025-06-06 18:30:03.000000,2024-04-03 01:43:54.000000,Account Executive,I0G9,Sales Division A,H1HQFU,Sales Division C,UZXBLBHV2N7QFO,Account Executive,609-509-8187,Sales Division A,IPMGSI2FDMQ3,Sales Division A,43734SFMZYS95S4,679-486-5588,jessica.anderson@sgws.com,K1VXG1BMDN9,0QDO510WZ,646-986-1958,jessica.anderson@sgws.com,I0UY3MJL2RWLPQQ,ERT25GF,DU2FL7EDVW1QZP,534-388-7248,jessica.anderson@sgws.com,350-533-3813,jessica.anderson@sgws.com,509-581-7345,jessica.anderson@sgws.com,KX4WJXKB,A48BNZZDLYG0QS,2024-09-21 15:49:01.000000,Q1MEVVGO,2025-04-12 21:58:34.000000,Q2P8ZU8O2UM6MBW,Sales Division B,4YO8DMX,Sales Division B,Sales Division B,Midwest,West,VWC2Z9M6,Sales Division A,Sales Division A,4FFER6KVNO2XF,Sales Division B,Sales Division B,Southwest,Southwest,Midwest,KYCJJOJCV3T,Sales Division C,Sales Division C,K4VS8AABLS7UEA,Sales Division A,Sales Division A
2792978210,100003,100000,DUHDOBGOBIN,Sales Division B,O23SCHHV3Z,A4R6JFORZRDXGV,XMJBJAOIKD808,QQZ5VL2S6NIWOS,Sales Division B,Sales Division A,34XBLA6,KK6F64S5AES2IAJ,I7OBIV,IMZFKI4,EWQH6YMAA,Sales Division B,jessica.smith@sgws.com,XY6PLMY5ZIQ4QN,3B6WI8SZ0J,8KHCQDTHL,879G,OOB0A8M9MWMKM,Midwest,Northeast,jessica.smith@sgws.com,West,Midwest,5VR050PHY04DFYW,B2EZNIEZ7FHZL,2024-05-27 23:47:15.000000,2025-02-18 09:22:27.000000,2025-09-29 17:32:49.000000,2025-04-19 05:54:45.000000,HW85K58,Sales Division A,3MVOG9M,YJK46V4B0F,E9255K2NYJ75U0,4R84G7ZQ,K66,O26NRG69B4N,Sales Division B,Sales Division B,100000,Sales Division B,Sales Division B,3KKTRW,98JT,West,Northeast,GF339WK3OXMEOL6,jessica.smith@sgws.com,Sales Division B,LJS2QJADVUE,G9H6IAK797E4Z5,Northeast,jessica.smith@sgws.com,West,Southeast,Southeast,jessica.smith@sgws.com,QRUQHMEYZDXRBU,Sales Division A,Sales Division B,2025-07-05 14:09:36.000000,2025-07-03 06:22:17.000000,Account Executive,3J1G6,Sales Division B,7KYZTD3,Sales Division C,E90IFBK,Account Executive,594-869-1645,Sales Division B,DVUWWSJ4ZYA,Sales Division C,BK47026OJG4RGU,864-992-7646,jessica.smith@sgws.com,Q3CWOCUKSG5,GD8YRTHT,942-887-3527,jessica.smith@sgws.com,HH4S,04DDPU6ZP20LMM,IJXM43QPF,513-593-6011,jessica.smith@sgws.com,409-724-5542,jessica.smith@sgws.com,373-430-6164,jessica.smith@sgws.com,TVURR9,FWPTVNXV,2025-05-20 01:46:47.000000,WNXXY312HYDJ,2025-05-01 00:46:01.000000,NLCENTU,Sales Division A,QYWNS,Sales Division A,Sales Division A,West,West,I531P70S,Sales Division B,Sales Division B,UCZJWK8VS0S3C,Sales Division B,Sales Division C,Northeast,Northeast,West,2DH,Sales Division C,Sales Division B,XMACJRB7RRC,Sales Division C,Sales Division C
5292882188,100004,100000,XMOAUGF4NZF4J,Sales Division A,4ACVPMYGL7KO,U85THD5,Q45,QK8MU8Q8LD6CL,Sales Division A,Sales Division C,XV81WF,0CUJ,JNL,TQ4NZMQ58DY,XCL62I,Sales Division A,matthew.johnson@sgws.com,QU41N42AZIMU6EA,P8DHBZ1G22VLM0O,7MHVR,WHN,RWB6S2K1,Midwest,West,matthew.johnson@sgws.com,Southwest,Southwest,2ZSQ8P,AN2ONJIM,2024-12-27 02:45:49.000000,2025-09-03 07:43:31.000000,2024-04-23 17:14:50.000000,2024-10-15 17:11:18.000000,R30TJE,Sales Division A,ZXUHLVOGCB0HAQ,4JGAO4,TI8G22U,FYRESB1CJZ,ML2,D91GH,Sales Division B,Sales Division A,9URQ6BL,Sales Division A,Sales Division A,OV0S1ONY6DDU,SUTMT5,Northeast,Northeast,YH1HNDD,matthew.johnson@sgws.com,Sales Division B,IJN7E,52YYWN4M,Southwest,matthew.johnson@sgws.com,West,West,Midwest,matthew.johnson@sgws.com,H9OVDLDWTF,Sales Division A,Sales Division B,2025-09-19 01:41:21.000000,2024-07-27 20:28:01.000000,Territory Manager,XN739E6,Sales Division A,KW9EXPF4621,Sales Division C,IEBATSA04KL2A0R,Territory Manager,970-939-5411,Sales Division C,OV0PN,Sales Division C,I8T5LW6G,476-746-3080,matthew.johnson@sgws.com,G5D33JXDN,1R7GUCRZ7GT,370-865-9890,matthew.johnson@sgws.com,KQVECYFBFMC,6X7,1OS08ZFG4,441-409-9803,matthew.johnson@sgws.com,216-351-1388,matthew.johnson@sgws.com,819-737-1746,matthew.johnson@sgws.com,IRPQ1PQE36Y1A,78ZP,2025-07-31 11:50:06.000000,78LSWJ8T,2025-05-21 07:30:39.000000,67L5JVNEC3QY,Sales Division C,CQ9KZE0VHH,Sales Division B,Sales Division A,Southeast,Northeast,1S6GOQ47YZUAKI,Sales Division C,Sales Division A,Z6IZ423Q0DURNUC,Sales Division A,Sales Division A,Northeast,Southwest,Midwest,LO1UU7XBI3Z754E,Sales Division B,Sales Division A,ABHKX18NXLB,Sales Division B,Sales Division A
6475978153,100005,100000,3D5M6SQ6YBXBXL,Sales Division C,SS3R5Z381O7,7OYLPZUOX0CL6,PUFX,CMDFU41S9,Sales Division B,Sales Division C,T6F7,JAQHZD2OTJ95V3,B79XT,TETM,QAYW262PQ9GWMFZ,Sales Division B,linda.lee@sgws.com,1NAJSE91F25,IDK,WBOF,8GTP,JPRO8NYMJ8U,Northeast,Northeast,linda.lee@sgws.com,Southeast,Midwest,JD9K6VYGGJ,BVXOBJJKJXMFG,2025-01-23 14:53:11.000000,2024-07-10 07:27:18.000000,2025-06-11 18:36:09.000000,2025-04-04 05:28:44.000000,SI6RLW5SHJDNEW,Sales Division A,D2WOC6Z,4LAWL7CU53LGKP7,7MLQUJSD5TK,Q9TQYFC,NO8BXM1G,J8NBPPXPPWB9AO2,Sales Division C,Sales Division A,V2SG22ZA,Sales Division A,Sales Division C,PXWY9N41FUS,OSXG1M,West,Southwest,QEV8BN,linda.lee@sgws.com,Sales Division A,LS7CVX5O8Q6ZSI,12XTSL2VY1CN8Y,Southeast,linda.lee@sgws.com,West,Southeast,Southwest,linda.lee@sgws.com,NO0Q,Sales Division A,Sales Division B,2025-02-05 08:20:13.000000,2025-07-12 05:22:39.000000,Account Executive,PJLGBHDX94TA,Sales Division A,S7Z,Sales Division C,6AC0840Q5BJVJFW,Sales Representative,657-766-6058,Sales Division C,SF3238K,Sales Division A,G4BD3RREE,365-614-5158,linda.lee@sgws.com,PY13EXOX9HXWU,UVW,618-359-7546,linda.lee@sgws.com,UN52MBBK03GV8JV,RIHK85A4P3F,NSY5,808-884-7586,linda.lee@sgws.com,635-659-2827,linda.lee@sgws.com,506-647-2502,linda.lee@sgws.com,7ZP7OAOJYW,DKM,2025-07-16 02:54:17.000000,3163E0339Q,2024-02-09 18:48:58.000000,EIDQ6TKS9V2B,Sales Division C,E3L9OY63IYYEWU7,Sales Division C,Sales Division B,West,Southwest,FEAUR3MZ2Y9,Sales Division A,Sales Division B,83SH5B4VV,Sales Division A,Sales Division A,Southwest,Northeast,Midwest,CRORISLKWBIX,Sales Division A,Sales Division A,A01PA4Q,Sales Division B,Sales Division A
2699599145,100006,100000,OOCB9PB924,Sales Division A,OZS,WXX66S7RA6V,WHZN5V6YNRGDL,9DQPF,Sales Division A,Sales Division B,MRF1JZXU67MQ2U9,Y4XI549M,2NL1HGS,72DSM5JQEGN00,8ZM5,Sales Division A,jennifer.martin@sgws.com,OH78RCPS346WGSW,QGHQEFH4O46QA,ZE14A,3LCDOQXHD7O2TXY,JPX9NAKQ80G4KJ,Northeast,Midwest,jennifer.martin@sgws.com,Midwest,Southeast,0BK60LOO9Z,UV9XBIX,2025-06-22 20:28:24.000000,2024-05-22 09:33:45.000000,2024-10-04 12:21:39.000000,2025-04-13 21:36:21.000000,JMFY4J,Sales Division A,6O7753C11I7RG,F3ZO8HP9VABE,RWALE24G00DN88,QD95HP8I6BI3NZ,W7YUD04WRU47MIY,MKN3EDA4F5J,Sales Division C,Sales Division C,PXVA,Sales Division B,Sales Division A,NAG,99XZ1E,Midwest,West,F9BYD4NZUVZ3,jennifer.martin@sgws.com,Sales Division A,KVBPN,VGHYAO3762,West,jennifer.martin@sgws.com,Southeast,Southeast,Northeast,jennifer.martin@sgws.com,CEY,Sales Division A,Sales Division C,2024-08-22 05:14:30.000000,2025-10-05 01:10:49.000000,Sr. Account Manager,OOSH0P,Sales Division A,25PK1PV2RRG6REC,Sales Division A,ZEZ9,Territory Manager,967-503-7195,Sales Division A,LGWM1MWENKYEEK,Sales Division C,TWI8,778-935-3871,jennifer.martin@sgws.com,UPNT2YR9Y54,FV7S4VGAMF5,968-446-1201,jennifer.martin@sgws.com,LF4,WQB7H,TKP8,476-459-6850,jennifer.martin@sgws.com,961-789-7384,jennifer.martin@sgws.com,510-216-3179,jennifer.martin@sgws.com,SEBFEIJU1,IU300JDS,2024-08-13 18:03:54.000000,V9RUIV2Z,2025-05-19 08:44:00.000000,VLFNW2ZKFY9751,Sales Division A,Q1EFPAHIL,Sales Division A,Sales Division B,Southeast,Southwest,1PW4B31PG,Sales Division B,Sales Division A,8527,Sales Division B,Sales Division B,Southwest,Midwest,Southeast,GG5X,Sales Division B,Sales Division A,B92BYK6VT0PF2II,Sales Division A,Sales Division C
1982847571,100007,100000,R45MO8UIDYECQC,Sales Division C,Y6N,L5G,PDH4U752XGNX37Y,RSTR7EP,Sales Division A,Sales Division B,J89T0U4F,8Y47M9NSJHLR6U5,ABCWDY,DGRY,SZ6,Sales Division C,david.miller@sgws.com,H89FKRDHD7RQ,KPXZ5PGK,U1NDRYTP,XV9UP8ALK,9H5JQLH,Midwest,Southwest,david.miller@sgws.com,Midwest,Southeast,1WOV,83IPIEGEQRUYD,2025-08-18 17:55:52.000000,2024-10-22 08:04:44.000000,2025-06-10 07:13:43.000000,2024-09-09 06:23:09.000000,X1729YOMSIGK9IS,Sales Division A,V25C9ZQ3H4,C2VK,I1HGZQ8HD,8E0JOJVC,GXD,VYPGS0,Sales Division B,Sales Division C,3X48O0ROY,Sales Division B,Sales Division B,GB334J0E6WZ3,90GKYW82,Southwest,West,4ITTDNMAF95Q,david.miller@sgws.com,Sales Division B,N9XFG2D01M0WWG,9UPW9V89AAEAA,Northeast,david.miller@sgws.com,Northeast,Southwest,Southwest,david.miller@sgws.com,KX4VBDS,Sales Division C,Sales Division C,2024-09-15 02:13:15.000000,2025-01-23 14:56:49.000000,Sales Representative,NOXQXQGUGILG2MP,Sales Division C,4HPI9EGAELMR,Sales Division C,C87WJ,Account Executive,524-297-7789,Sales Division B,NA7OLMZNBPU1BW,Sales Division B,9FHC6R2DOOIZ86,606-440-8983,david.miller@sgws.com,WAQKVFI6TR,THH6WMR,285-856-7987,david.miller@sgws.com,7WXZ0,5PDVA2,YIFQH5P0U7J,737-384-5634,david.miller@sgws.com,368-666-6163,david.miller@sgws.com,560-253-1973,david.miller@sgws.com,Q3V2W0F,7GYDS0BR5,2024-05-28 08:31:36.000000,V2W4S,2024-02-16 16:57:04.000000,U89ILNI9UHJQ5EG,Sales Division C,5O3ESLK4,Sales Division B,Sales Division A,Southwest,Southwest,JNLP,Sales Division B,Sales Division C,MU3K2C,Sales Division B,Sales Division C,West,Midwest,Midwest,KI47A,Sales Division C,Sales Division A,3QZ,Sales Division B,Sales Division A
5980721403,100008,100000,0NCZEB4QXR64YYK,Sales Division C,PW0MODOM,JXYX4C4,KRT7JH9M,QG8BRPY54A0N,Sales Division C,Sales Division A,4DM9AT5KTN042,7ZK,ND5PV,TJD4MID54MH9,2V7VZ,Sales Division A,michael.smith@sgws.com,3FI3W1BDU9,W3DR4XBTE,IO78LF2V50,13N91S5OXWR6,3CIVR7UW,Northeast,West,michael.smith@sgws.com,West,Southwest,1LZQ4M5GWLXHL7,XXHV7MHXAZU9J,2024-03-10 05:39:30.000000,2025-11-16 08:29:17.000000,2024-09-29 05:27:21.000000,2025-09-09 03:46:40.000000,6WWY9,Sales Division B,N0EZB3X7O,UP123BX37EKR,AY6LVOS0DGP,PN68U5OT3CW4Z,CT1U,6C2U,Sales Division C,Sales Division A,T3MD0X9GDU,Sales Division B,Sales Division A,K45FZXVM,9AAV7IBMUL,Midwest,Midwest,GCJ0AX3Z7XEJV1Y,michael.smith@sgws.com,Sales Division C,XT2OBWO,6TTPMIGTX,Southeast,michael.smith@sgws.com,West,Southeast,West,michael.smith@sgws.com,RXLAT,Sales Division A,Sales Division C,2024-07-08 03:41:15.000000,2024-03-03 16:29:56.000000,Sr. Account Manager,WIT24G,Sales Division A,SLWUDLCSQLBVG,Sales Division C,GRQPZ0BBT,Sales Representative,488-236-1996,Sales Division A,Z8REUG5I2Y,Sales Division A,72XFRFADPYJ,709-902-5006,michael.smith@sgws.com,JTOU,46SXMCHIFHVYG,215-829-4353,michael.smith@sgws.com,0Z4G0TFCL,5QOX,I0F8Q1K6HM1UI78,858-299-1048,michael.smith@sgws.com,418-795-9954,michael.smith@sgws.com,472-676-6708,michael.smith@sgws.com,63G8F5G,SBM3YSWGTF,2025-05-30 08:28:12.000000,QY9ZKAAXJ,2024-08-15 21:06:25.000000,YZ9MB,Sales Division B,I2PHS1IIOG,Sales Division B,Sales Division A,Northeast,West,C8Q6COFMCOVRIK0,Sales Division B,Sales Division A,3DTCN7IOHLCMI,Sales Division C,Sales Division B,West,West,Southwest,JTLH0FDB0YM9I31,Sales Division C,Sales Division A,0JXL5J9F4,Sales Division B,Sales Division A
9101375111,100009,100000,YYL237J3Y,Sales Division C,ZL2J,K8R8,PCQHI5MH0I810W5,U3WN4CNK2K679G,Sales Division C,Sales Division A,34V4TLNVOG4C7PP,0PE,V35XEGP6,PJ3QU1EH9,VJRESF6OTYUDX,Sales Division A,barbara.rodriguez@sgws.com,ZWE1Z1GY5CJQJO2,L4APB5,GVNGR1,J3BK04VMHAXKOT6,0T6H,Northeast,Midwest,barbara.rodriguez@sgws.com,Southwest,Southwest,8PNL2MY,W0QHJB,2025-04-23 15:59:26.000000,2025-09-26 12:46:59.000000,2025-09-26 05:21:41.000000,2025-08-16 17:10:31.000000,TB70ZQ6L3K1JQ3,Sales Division A,J3GXCL1DX1,ZTUK3M004G,L2R3JOBBW4,EIF91,QAD3QOF77,YGZ8BVPFN4KHNYX,Sales Division B,Sales Division C,B54O,Sales Division C,Sales Division B,PUKBLEODSY,5PEVB5T5M6,Midwest,Southeast,PK8J783A18PQE,barbara.rodriguez@sgws.com,Sales Division C,TH19XY,ZXJUC0L8Q0UFQQ,Northeast,barbara.rodriguez@sgws.com,Southwest,Southwest,Southwest,barbara.rodriguez@sgws.com,8DHU71AHHUPQ7,Sales Division C,Sales Division B,2024-04-22 00:15:26.000000,2025-01-30 11:36:23.000000,Sales Representative,9YEEM,Sales Division C,THZ,Sales Division C,1XMFG,Account Executive,322-787-6109,Sales Division A,GMIYCUMEA7,Sales Division A,1CQUYFHFM2QI,775-563-5995,barbara.rodriguez@sgws.com,IN1T,6R371H9AA9KVT,761-733-3825,barbara.rodriguez@sgws.com,SIWE12YOLMGH,EZ4K,4BYJU1X,870-784-6879,barbara.rodriguez@sgws.com,362-255-8181,barbara.rodriguez@sgws.com,793-451-2229,barbara.rodriguez@sgws.com,79YB,OBURV1KUD7I,2024-06-18 01:36:50.000000,7UWJVPQ98WT5ZK,2024-07-08 20:16:42.000000,X1QYS,Sales Division B,OZA7EB,Sales Division B,Sales Division B,Southeast,Southeast,MBFVJDST0S,Sales Division A,Sales Division A,QKMERG,Sales Division C,Sales Division C,Northeast,Midwest,Southwest,Z46GWQFO1C,Sales Division A,Sales Division C,17XRU15APT,Sales Division C,Sales Division A
